Scenario,hydromorphone 1 mg IV,hydromorphone 4 mg IV,morphine 4 mg IV
Neutral-1,254,165,29
Stigmatizing_All-0.25,279,139,30
Stigmatizing_All-0.5,342,90,16
Stigmatizing_All-0.75,353,70,25
Stigmatizing_All-1,408,21,19
Stigmatizing_Compliance-0.25,233,186,29
Stigmatizing_Compliance-0.5,255,159,34
Stigmatizing_Compliance-0.75,252,168,28
Stigmatizing_Compliance-1,250,172,26
Stigmatizing_Credibility-0.25,258,168,22
Stigmatizing_Credibility-0.5,245,175,28
Stigmatizing_Credibility-0.75,286,133,29
Stigmatizing_Credibility-1,279,140,29
Stigmatizing_Descriptors-0.25,279,143,26
Stigmatizing_Descriptors-0.5,315,90,43
Stigmatizing_Descriptors-0.75,326,90,32
Stigmatizing_Descriptors-1,352,65,31
